Ashish Nehra,2
LPC Silva,1
Ben Dunk,0
Munaf Patel,5
Asad Pathan,1
Dominic Thornely,2
Umar Gul,1
Nathan Coulter0Nile,5
Jason Holder,0
Sumit Narwal,3
Ishant Sharma,5
Kane Richardson,5
Lakshmipathy Balaji,2
Joginder Sharma,0
Sohail Tanvir,0
Bodapati Sumanth,0
Anil Kumble,2
Abhimanyu Mithun,3
Aditya Dole,1
Luke Ronchi,5
Shanthakumaran Sreesanth,2
Dinesh Salunkhe,3
Robin Peterson,0
S Sriram,5
Tatenda Taibu,0
Colin Munro,5
Vijay Zol,0
Syed Mohammad,0
Shadab Jakati,5
Sreenath Aravind,1
JM Kemp,0
Nathan McCullum,0
Shivnarine Chanderpaul,5
Eklavya Dwivedi,1
MA Khote,0
Shahbaz Nadeem,2
J Arunkumar,5
Nikhil Naik,2
Shaun Tait,5
Jeevan Mendis,5
Matthew Wade,2
Pradeep Sangwan,2
Brad Hogg,5
Doug Bollinger,5
Colin Ingram,5
Harpreet Singh,5
Mohammad Hafeez,5
Alfonso Thomas,0
Muttiah Muralitharan,2
RR Raje,0
Nic Maddinson,5
Akshdeep Nath,2
Sandeep Sharma,2
Damien Martyn,5
R Bishnoi,0
Abhinav Mukund,5
Pradeep Sahu,3
Rahul Shukla,5
Y Gnaneswara Rao,0
Ashok Dinda,2
Imran Tahir,5
Pravin Tambe,2
Darren Lehmann,5
Brad Haddin,1
Anureet Singh,2
Harmeet Singh Bansal,1
JJ van der Wath,0
Parveez Rasool,5
Pragyan Ojha,2
Rahul Tewatia,0
Chamara Kapugedera,2
C Madan,5
GR Napier,5
Sean Abbott,0
Yo Mahesh,2
Abu Nechim,1
Shreyas Gopal,2
Farhaan Behardien,0
Kushal Janith Perera,0
KC Cariappa,0
DT Patil,5
Kyle Abbott,1
T Thushara,2
Ankeet Chavan,0
Doug Bracewell,3
Karanveer Singh,2
Krishnakant Upadhyay,3
T Henderson,2
Mohammed Shami,2
Makhaya Ntini,2
T Kohli,2
DNT Zoysa,0
Sachithra Senanayake,2
Ali Murtaza,2
Kemar Roach,0
D du Preez,5
Thalaivan Sargunam,2
Tim Paine,2
Juan Theron,5
Siddarth Kaul,5
Ashley Noffke,5
Jasprit Bumrah,2
SM Harwood,2
Charl Langeveldt,5
Clint McKay,2
Jaskaran Singh,2
Tanmay Srivastava,2
Arindam Ghosh,5
Udit Birla,2
Vikramjeet Malik,5
Pankaj Singh,2
Shardul Thakur,0
I Malhotra,1
Bhargav Bhatt,5
Peter Handscomb,2
Jayant Yadav,2
SB Joshi,2
SS Shaikh,5
Shalabh Srivastava,5
Shivam Sharma,1
Parvinder Awana,2
Nuwan Kulasekara,1
Ben Laughlin,2
VRV Singh,3
Amit Uniyal,2
Dirk Nannes,2
Ajit Chandila,2
RS Sodhi,1
Dilhara Fernando,3
Glenn McGrath,5
Barinder Sran,5
Jaydev Unadkat,2
Kamran Khan,2
Younis Khan,2
Chris Jordan,2
Ajantha Mendis,2
D Kalyankrishna,2
Mohammad Asif,2
Ryan Ninan,2
Sudeep Tyagi,2
Suraj Randiv,2
Mashrafe Mortaza,5
H Das,2
RS Gavaskar,4
Yuzvendra Chahal,5
Shoaib Akhtar,4
Amit Singh,4
KP Appanna,2
Mohammad Ashraful,4
Ronit More,5
VS Yeligati,5
Shrikant Wagh,2
Ankit Rajpoot,2
Nathan Rimmington,5
PM Sarvesh Kumar,2
Domnic Joseph,2
DP Vijaykumar,5
Beuran Hendricks,2
P Parameswaran,5
Marchant de Lange,2
Shane Bond,2
Gurinder Sandhu,4
Tanmay Mishra,4
C Nanda,4
Scott Boland,4
Gajendra Singh,4
C Ganapathy,4
Mustafizur Rahman,4
Michael Neser,4
Murugan Ashwin,4
Samuel Badree,4
Shivil Kaushik,4
Veer Pratap Singh,4
U Kaul,4
SS Mundhe,4
Harmeet Singh,4
Sunny Gupta,4
Swapnil Singh,4
