batclustno,bowlclustno,0,1,2,3,4,6,out
0,0,0.40575613692351925,0.39147512077278457,0.05928938220765725,0.0037012898328606515,0.09978737436437905,0.03959562100593673,0.08005701385282628
0,2,0.39857858152782755,0.40637263826837716,0.06011488485271505,0.0036813051429183392,0.09366266492158665,0.03747952563985403,0.07231736127750302
0,3,0.39989103321818137,0.40583831735025944,0.05777453094706125,0.003549805653452213,0.09361387219552893,0.038919795020946835,0.07840522480700562
0,4,0.40613372036149537,0.39417169434015703,0.05823926247790659,0.004765703520232091,0.09808962805682184,0.03830837740150616,0.08755319703832029
0,5,0.41694362226968834,0.38997796186396066,0.058619555150437035,0.00331767064585648,0.09503372549919413,0.03567722157610301,0.08011648383355896
1,0,0.35438095238095235,0.40119047619047615,0.03785714285714285,0.0,0.1105714285714286,0.092,0.13233333333333333
1,2,0.5,0.0,0.0,0.0,0.5,0.0,0.25
1,3,0.41098901098901097,0.3547619047619047,0.1021978021978022,0.0,0.05128205128205128,0.08076923076923077,0.20512820512820512
1,4,0.36473214285714284,0.39955357142857145,0.06875,0.0,0.08348214285714287,0.08348214285714287,0.0625
1,5,0.30391156462585034,0.47806122448979593,0.12738095238095237,0.0,0.04421768707482993,0.04642857142857143,0.11785714285714285
2,0,0.4603469762560672,0.45484790181759877,0.033017039077645145,0.0006313131313131314,0.032133200693806756,0.019023569023569022,0.10953783870450537
2,2,0.5083333333333333,0.35,0.09166666666666665,0.05,0.0,0.0,0.175
2,3,0.390625,0.5729166666666666,0.015625,0.0,0.020833333333333332,0.0,0.03125
2,4,0.6314285714285715,0.3019047619047619,0.06666666666666667,0.0,0.0,0.0,0.19666666666666668
2,5,0.40527210884353737,0.5173469387755102,0.02976190476190476,0.0,0.03571428571428571,0.011904761904761904,0.12916666666666668
3,0,0.38610010967852876,0.383232088056332,0.06800243192098422,0.0022312344748004645,0.10662023976013932,0.05357258336790273,0.07941127071957249
3,2,0.3484281746422597,0.4645212798631976,0.06423953171522458,0.0027223736866440265,0.07902020162851964,0.04106843846415456,0.06222364505425946
3,3,0.38553789286924833,0.3958489441276349,0.05425233846316575,0.0013350188916812836,0.12637071710025224,0.03665508854801776,0.0698220564040977
3,4,0.40269912256527973,0.38776869653255785,0.05837707058233861,0.0018531822428583563,0.10862676443699233,0.04067516363997312,0.09683451595419353
3,5,0.3845225255088276,0.3799485969933015,0.07198234455643086,0.00046733569460842187,0.1137126085544996,0.04936658869233187,0.06355677756472038
4,0,0.6766666666666666,0.2733333333333333,0.05,0.0,0.0,0.0,0.2033333333333333
4,3,0.5,0.5,0.0,0.0,0.0,0.0,0.0
4,4,0.5923611111111111,0.2534722222222222,0.12083333333333333,0.0,0.03333333333333333,0.0,0.28750000000000003
4,5,0.6944444444444443,0.08333333333333333,0.05555555555555555,0.0,0.16666666666666666,0.0,0.2638888888888889
5,0,0.5074801587301587,0.34315035273368605,0.04632275132275133,0.0007936507936507937,0.06803350970017638,0.03421957671957672,0.07573412698412697
5,2,0.3669191919191919,0.597979797979798,0.011111111111111112,0.0,0.02398989898989899,0.0,0.021212121212121213
5,3,0.5019934366708559,0.38731555183168076,0.04354838709677419,0.0,0.06253432946981334,0.004608294930875576,0.14842549923195084
5,4,0.4199855699855699,0.3950731807874665,0.04047619047619048,0.0,0.14446505875077303,0.0,0.05398886827458256
5,5,0.4733657401626153,0.384986627955378,0.04410996989121989,0.0,0.08005445075757577,0.017483211233211234,0.13735548305860804
