,batsman,bowler,0,1,2,3,4,6,notout,balls
49,Z Khan,DE Bollinger,0.5454545454545454,0.7272727272727273,0.9090909090909092,0.9090909090909092,1.0,1.0,0.9090909090909091,11
50,CRD Fernando,DE Bollinger,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2
51,SL Malinga,DE Bollinger,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
52,M Vijay,RJ Harris,0.5,0.775,0.8250000000000001,0.8500000000000001,1.0,1.0,0.975,40
53,ML Hayden,RJ Harris,0.5789473684210527,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.0,1.0,0.9473684210526316,19
54,ML Hayden,RP Singh,0.4642857142857143,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.9285714285714286,1.0,1.0,28
55,M Vijay,RP Singh,0.475,0.6499999999999999,0.7249999999999999,0.7499999999999999,0.9249999999999998,0.9999999999999998,0.95,40
56,ML Hayden,DR Smith,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0,1.0,7
57,M Vijay,DR Smith,0.3076923076923077,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.9230769230769231,1.0,1.0,13
58,M Vijay,RG Sharma,0.4,0.6000000000000001,0.6000000000000001,0.8,1.0,1.0,0.8,5
59,ML Hayden,RG Sharma,0.5,0.75,0.8,0.8,0.9,1.0,1.0,20
60,ML Hayden,Shoaib Ahmed,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,6
61,MS Dhoni,Shoaib Ahmed,0.5,1.0,1.0,1.0,1.0,1.0,1.0,10
62,M Vijay,PP Ojha,0.3939393939393939,0.8484848484848484,0.9393939393939393,0.9393939393939393,0.9696969696969696,0.9999999999999999,0.9696969696969697,33
63,MS Dhoni,PP Ojha,0.44,0.8400000000000001,0.92,0.92,0.9500000000000001,1.0,0.94,100
64,MS Dhoni,DR Smith,0.5,1.0,1.0,1.0,1.0,1.0,1.0,10
65,M Vijay,TL Suman,0.6,1.0,1.0,1.0,1.0,1.0,0.8,5
66,MS Dhoni,TL Suman,0.1,0.9,0.9,0.9,1.0,1.0,1.0,10
67,SK Raina,TL Suman,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857142,0.9999999999999999,1.0,7
68,SK Raina,Shoaib Ahmed,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3
69,SK Raina,PP Ojha,0.17777777777777778,0.7333333333333334,0.8666666666666667,0.888888888888889,0.9111111111111112,1.0,0.9555555555555555,45
70,MS Dhoni,RJ Harris,0.08333333333333333,0.41666666666666663,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9166666666666666,12
71,SK Raina,RJ Harris,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.8571428571428572,7
72,MS Dhoni,RP Singh,0.37142857142857133,0.7714285714285714,0.8285714285714285,0.8285714285714285,0.9714285714285713,0.9999999999999999,0.9714285714285714,35
73,SK Raina,RP Singh,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9629629629629629,1.0,0.962962962962963,27
74,JA Morkel,RJ Harris,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2
75,JA Morkel,RP Singh,0.3,0.75,0.8,0.8500000000000001,0.9500000000000001,1.0,0.95,20
76,AC Gilchrist,JA Morkel,0.5714285714285714,0.7142857142857142,0.7428571428571428,0.7428571428571428,0.9428571428571428,1.0,0.9142857142857143,35
77,VVS Laxman,JA Morkel,0.8181818181818182,0.9090909090909092,0.9090909090909092,0.9090909090909092,1.0,1.0,0.9090909090909091,11
78,HH Gibbs,S Tyagi,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,3
79,RG Sharma,S Tyagi,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909092,1.0,1.0,11
80,DR Smith,JA Morkel,0.4444444444444444,0.5277777777777778,0.6944444444444444,0.6944444444444444,0.9444444444444444,1.0,0.9722222222222222,36
81,DR Smith,S Tyagi,0.0,0.5,0.5,0.5,0.5,1.0,1.0,2
82,RG Sharma,JA Morkel,0.42857142857142855,0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,1.0,0.8571428571428572,21
83,RG Sharma,L Balaji,0.5,0.6818181818181819,0.7727272727272728,0.7727272727272728,0.9545454545454547,1.0000000000000002,0.9090909090909091,22
84,DR Smith,L Balaji,0.6153846153846154,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9743589743589745,1.0,0.9743589743589743,39
85,DR Smith,SB Jakati,0.3043478260869565,0.7826086956521738,0.8695652173913042,0.8695652173913042,0.9130434782608694,0.9999999999999998,0.9130434782608696,23
86,RG Sharma,SB Jakati,0.3181818181818182,0.7727272727272727,0.8636363636363636,0.8636363636363636,0.9545454545454546,1.0,0.9545454545454546,22
87,RG Sharma,M Muralitharan,0.35294117647058826,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,0.9411764705882353,17
88,DR Smith,M Muralitharan,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,0.7777777777777778,9
89,TL Suman,SB Jakati,0.4375,0.875,0.9375,0.9375,1.0,1.0,0.9375,16
90,TL Suman,M Muralitharan,0.6,1.0,1.0,1.0,1.0,1.0,0.8,5
91,Y Venugopal Rao,M Muralitharan,0.3928571428571429,0.9285714285714286,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,28
92,Y Venugopal Rao,SB Jakati,0.375,0.8333333333333333,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.9999999999999999,0.9583333333333334,24
93,RJ Harris,SB Jakati,0.375,0.625,0.75,0.75,0.875,1.0,0.875,8
94,TL Suman,SK Raina,0.1875,0.5,0.75,0.75,0.9375,1.0,1.0,16
95,RP Singh,SB Jakati,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2
96,RP Singh,M Muralitharan,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8571428571428572,7
97,Shoaib Ahmed,SK Raina,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2
98,PP Ojha,SK Raina,1.0,1.0,1.0,1.0,1.0,1.0,0.5,4
99,AM Nayar,AR Patel,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,3
100,AM Rahane,AR Patel,0.26666666666666666,0.8333333333333333,0.9333333333333332,0.9333333333333332,0.9999999999999999,0.9999999999999999,1.0,30
101,AM Rahane,MG Johnson,0.3818181818181817,0.6545454545454544,0.709090909090909,0.7272727272727272,0.9818181818181817,0.9999999999999999,0.9636363636363636,55
102,AM Nayar,MG Johnson,0.4,0.8,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,15
103,AM Rahane,P Awana,0.36,0.6799999999999999,0.7999999999999999,0.7999999999999999,0.96,1.0,1.0,25
104,AM Nayar,P Awana,0.5833333333333334,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0,12
105,SV Samson,L Balaji,0.5,0.75,0.75,0.75,0.875,1.0,1.0,8
106,SV Samson,P Awana,0.26666666666666666,0.6666666666666667,0.7333333333333334,0.7333333333333334,0.9333333333333333,1.0,0.9333333333333333,15
107,SV Samson,MG Johnson,0.35294117647058826,0.8235294117647058,0.8235294117647058,0.8235294117647058,1.0,1.0,0.9411764705882353,17
108,AM Nayar,M Kartik,0.4666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8666666666666667,15
109,SR Watson,M Kartik,0.3269230769230769,0.6538461538461539,0.7115384615384616,0.7307692307692308,0.8846153846153847,1.0,1.0,52
110,SV Samson,M Kartik,0.10526315789473684,0.6842105263157895,0.736842105263158,0.736842105263158,0.7894736842105263,1.0,1.0,19
111,SV Samson,AR Patel,0.25,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,24
112,SR Watson,AR Patel,0.6206896551724138,0.8620689655172414,0.8620689655172414,0.8620689655172414,0.9655172413793104,1.0,0.8275862068965517,29
113,SR Watson,L Balaji,0.35714285714285715,0.5714285714285714,0.6428571428571428,0.6428571428571428,0.9285714285714285,0.9999999999999999,0.9285714285714286,14
114,SR Watson,P Awana,0.3157894736842105,0.631578947368421,0.631578947368421,0.631578947368421,0.894736842105263,0.9999999999999999,0.9473684210526316,19
115,STR Binny,AR Patel,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,7
116,STR Binny,M Kartik,0.2,0.5,0.7,0.7,0.7999999999999999,1.0,1.0,10
117,STR Binny,MG Johnson,0.8421052631578947,0.894736842105263,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.8947368421052632,19
118,SPD Smith,MG Johnson,0.6923076923076923,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,0.8461538461538461,13
119,SPD Smith,P Awana,0.42857142857142855,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.9999999999999999,0.9999999999999999,1.0,7
120,JP Faulkner,P Awana,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
121,SPD Smith,L Balaji,0.2,0.5,0.6,0.6,1.0,1.0,1.0,10
122,JP Faulkner,MG Johnson,0.5555555555555556,0.7407407407407408,0.7777777777777779,0.7777777777777779,0.8888888888888891,1.0000000000000002,1.0,27
123,JP Faulkner,L Balaji,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857142,0.9999999999999999,1.0,7
124,CA Pujara,KW Richardson,0.25,0.875,0.875,0.875,1.0,1.0,1.0,8
125,V Sehwag,KW Richardson,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,1.0,11
126,V Sehwag,DS Kulkarni,0.4666666666666667,0.7333333333333334,0.7333333333333334,0.7333333333333334,1.0,1.0,0.9333333333333333,15
127,WP Saha,DS Kulkarni,0.2,0.4,1.0,1.0,1.0,1.0,1.0,5
128,CA Pujara,DS Kulkarni,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,1.0,6
129,WP Saha,JP Faulkner,0.3043478260869565,0.7391304347826086,0.826086956521739,0.826086956521739,0.9999999999999999,0.9999999999999999,0.9565217391304348,23
130,CA Pujara,JP Faulkner,0.0,0.625,0.75,0.875,1.0,1.0,1.0,8
131,GJ Maxwell,JP Faulkner,0.4117647058823529,0.7058823529411764,0.8235294117647058,0.8235294117647058,0.8235294117647058,1.0,0.9411764705882353,17
132,GJ Maxwell,DS Kulkarni,0.3636363636363637,0.5454545454545455,0.5454545454545455,0.5454545454545455,1.0,1.0,1.0,11
133,GJ Maxwell,KW Richardson,0.2857142857142857,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.857142857142857,0.9999999999999998,0.8571428571428572,7
134,GJ Maxwell,PV Tambe,0.5,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,1.0,14
135,CA Pujara,PV Tambe,0.3,1.0,1.0,1.0,1.0,1.0,1.0,10
136,CA Pujara,R Bhatia,0.2,0.8,1.0,1.0,1.0,1.0,1.0,5
137,GJ Maxwell,R Bhatia,0.3157894736842105,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.8947368421052632,1.0,1.0,19
138,CA Pujara,STR Binny,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
139,DA Miller,STR Binny,0.6153846153846154,0.6153846153846154,0.8461538461538463,0.8461538461538463,1.0,1.0,1.0,13
140,DA Miller,PV Tambe,0.0625,0.6875,0.875,0.875,0.875,1.0,1.0,16
141,DA Miller,JP Faulkner,0.3478260869565217,0.608695652173913,0.7826086956521738,0.7826086956521738,0.826086956521739,0.9999999999999999,1.0,23
142,DA Miller,DS Kulkarni,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,0.5833333333333333,1.0,0.8333333333333334,12
143,G Gambhir,SB Jakati,0.2571428571428571,0.6285714285714284,0.7999999999999999,0.8285714285714285,0.9428571428571428,1.0,0.9714285714285714,35
144,BB McCullum,SB Jakati,0.36666666666666653,0.8333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9999999999999999,0.9333333333333333,30
145,BB McCullum,BW Hilfenhaus,0.5714285714285714,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.9999999999999999,0.9999999999999999,1.0,7
146,BB McCullum,R Ashwin,0.5609756097560976,0.902439024390244,0.9268292682926831,0.9512195121951221,0.9756097560975612,1.0000000000000002,0.926829268292683,41
147,G Gambhir,R Ashwin,0.4680851063829787,0.8297872340425532,0.8936170212765957,0.8936170212765957,1.0,1.0,0.9574468085106383,47
148,G Gambhir,BW Hilfenhaus,0.5333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,15
149,G Gambhir,SK Raina,0.3448275862068966,0.896551724137931,0.9310344827586207,0.9310344827586207,1.0,1.0,1.0,29
150,BB McCullum,SK Raina,0.21052631578947367,0.6842105263157895,0.8421052631578947,0.8421052631578947,0.9473684210526315,1.0,1.0,19
151,G Gambhir,RA Jadeja,0.2,0.75,0.85,0.85,0.9,1.0,1.0,20
152,BB McCullum,RA Jadeja,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
153,BB McCullum,DJ Bravo,0.5,1.0,1.0,1.0,1.0,1.0,1.0,22
154,G Gambhir,DJ Bravo,0.3043478260869565,0.7391304347826086,0.7826086956521738,0.7826086956521738,0.9999999999999999,0.9999999999999999,0.9565217391304348,23
155,JH Kallis,DJ Bravo,0.4390243902439024,0.8048780487804877,0.8536585365853658,0.8536585365853658,0.975609756097561,1.0,0.926829268292683,41
156,MK Tiwary,SB Jakati,0.35714285714285715,0.8571428571428572,0.8571428571428572,0.8571428571428572,1.0,1.0,1.0,28
157,JH Kallis,SB Jakati,0.2826086956521739,0.8043478260869565,0.8478260869565217,0.8478260869565217,1.0,1.0,0.9782608695652174,46
158,JH Kallis,RA Jadeja,0.3333333333333333,0.875,0.9166666666666666,0.9166666666666666,0.9583333333333333,0.9999999999999999,1.0,24
159,MK Tiwary,RA Jadeja,0.36666666666666653,0.8333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9999999999999999,0.9333333333333333,30
160,YK Pathan,SB Jakati,0.5333333333333333,0.8666666666666667,0.9,0.9,0.9333333333333333,1.0,0.9333333333333333,30
161,YK Pathan,RA Jadeja,0.16666666666666666,0.7333333333333333,0.7999999999999999,0.7999999999999999,0.9333333333333332,0.9999999999999999,1.0,30
162,MK Tiwary,R Ashwin,0.25,0.9166666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,12
163,YK Pathan,R Ashwin,0.5,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.9117647058823529,1.0,0.9117647058823529,34
164,DB Das,RA Jadeja,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,6
165,LR Shukla,RA Jadeja,0.38461538461538464,0.6923076923076923,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,13
166,LR Shukla,DJ Bravo,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9444444444444444,1.0,0.9444444444444444,18
167,DB Das,DJ Bravo,0.38461538461538464,0.6923076923076923,0.7692307692307692,0.7692307692307692,0.846153846153846,0.9999999999999999,0.9230769230769231,13
168,DB Das,BW Hilfenhaus,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,3
169,LR Shukla,BW Hilfenhaus,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2
170,R Bhatia,BW Hilfenhaus,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,3
171,MEK Hussey,M de Lange,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,3
172,M Vijay,M de Lange,0.5,0.6,0.6,0.6,0.8999999999999999,0.9999999999999999,1.0,10
173,MEK Hussey,L Balaji,0.5,0.7045454545454546,0.7727272727272727,0.7727272727272727,0.9545454545454546,1.0,0.9545454545454546,44
174,MEK Hussey,SP Narine,0.4545454545454545,0.8409090909090908,0.9318181818181818,0.9318181818181818,1.0,1.0,0.9318181818181819,44
175,M Vijay,JH Kallis,0.5,0.8571428571428572,0.9285714285714286,0.9285714285714286,1.0,1.0,0.9285714285714286,28
176,MEK Hussey,JH Kallis,0.275,0.7,0.7999999999999999,0.825,0.9249999999999999,0.9999999999999999,0.975,40
177,M Vijay,SP Narine,0.52,0.88,0.96,0.96,1.0,1.0,0.92,25
178,M Vijay,L Balaji,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2
179,MEK Hussey,R Bhatia,0.18181818181818185,0.7954545454545455,0.8636363636363638,0.8636363636363638,0.9772727272727274,1.0000000000000002,1.0,44
180,M Vijay,R Bhatia,0.14285714285714285,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.9999999999999999,0.9999999999999999,0.8571428571428572,7
181,MEK Hussey,YK Pathan,0.19230769230769232,0.7307692307692307,0.8461538461538461,0.8846153846153846,0.9615384615384615,0.9999999999999999,1.0,26
182,M Vijay,YK Pathan,0.13043478260869565,0.782608695652174,0.782608695652174,0.782608695652174,0.9130434782608696,1.0,1.0,23
183,F du Plessis,SP Narine,0.125,1.0,1.0,1.0,1.0,1.0,1.0,8
184,SK Raina,SP Narine,0.25862068965517243,0.7413793103448276,0.8448275862068966,0.8448275862068966,0.9310344827586208,1.0,1.0,58
185,F du Plessis,YK Pathan,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
186,SK Raina,YK Pathan,0.359375,0.859375,0.875,0.875,0.96875,1.0,0.953125,64
187,SK Raina,JH Kallis,0.34375,0.8125,0.875,0.875,0.984375,1.0,0.96875,64
188,F du Plessis,JH Kallis,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,6
189,F du Plessis,L Balaji,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
190,SK Raina,L Balaji,0.29411764705882354,0.7647058823529411,0.8823529411764706,0.8823529411764706,1.0,1.0,1.0,17
191,MS Dhoni,L Balaji,0.24,0.64,0.76,0.76,0.92,1.0,0.96,25
192,F du Plessis,R Bhatia,0.18181818181818185,0.9090909090909092,1.0,1.0,1.0,1.0,0.9545454545454546,22
193,MS Dhoni,R Bhatia,0.25,0.9166666666666666,0.9583333333333333,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9583333333333334,24
194,MS Dhoni,JH Kallis,0.3076923076923077,0.8205128205128205,0.8461538461538461,0.8717948717948718,0.9743589743589743,1.0,0.9743589743589743,39
195,MS Dhoni,SP Narine,0.5365853658536586,0.975609756097561,1.0,1.0,1.0,1.0,1.0,41
196,DJ Bravo,R Bhatia,0.38461538461538464,0.8076923076923077,0.8846153846153846,0.8846153846153846,0.923076923076923,1.0,1.0,26
197,MS Dhoni,M de Lange,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.8888888888888888,1.0,1.0,9
198,DJ Bravo,M de Lange,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
199,RA Jadeja,R Bhatia,0.4666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,30
200,Salman Butt,GD McGrath,0.625,0.875,0.875,0.875,1.0,1.0,1.0,8
201,A Chopra,GD McGrath,0.5,1.0,1.0,1.0,1.0,1.0,1.0,4
202,Salman Butt,PJ Sangwan,0.5454545454545454,0.8181818181818181,0.8181818181818181,0.8181818181818181,1.0,1.0,1.0,11
203,A Chopra,PJ Sangwan,0.7,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.9999999999999999,0.9999999999999999,0.9,10
204,A Chopra,VY Mahesh,0.5,0.75,0.75,0.75,1.0,1.0,1.0,4
205,Salman Butt,VY Mahesh,0.4545454545454545,0.8181818181818181,0.8181818181818181,0.8181818181818181,1.0,1.0,0.9090909090909091,11
206,SC Ganguly,VY Mahesh,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8333333333333334,6
207,DJ Hussey,VY Mahesh,0.2,1.0,1.0,1.0,1.0,1.0,1.0,5
208,DJ Hussey,MF Maharoof,0.4166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,1.0,0.9166666666666666,12
209,Salman Butt,MF Maharoof,0.0,0.8,1.0,1.0,1.0,1.0,1.0,5
210,Salman Butt,A Mishra,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,7
211,DJ Hussey,A Mishra,0.3055555555555556,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.888888888888889,1.0,1.0,36
212,Salman Butt,V Sehwag,0.4,0.8,0.8,0.8,1.0,1.0,1.0,5
213,DJ Hussey,V Sehwag,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
214,T Taibu,VY Mahesh,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2
215,T Taibu,A Mishra,0.5,1.0,1.0,1.0,1.0,1.0,1.0,4
216,DJ Hussey,PJ Sangwan,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
217,T Taibu,PJ Sangwan,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,3
218,LR Shukla,PJ Sangwan,0.0,0.5,0.5,0.5,1.0,1.0,1.0,2
219,LR Shukla,GD McGrath,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3
220,DJ Hussey,GD McGrath,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,1.0,6
